unixTime,referencePressurePump,measuredPressurePump * 100,referencePressureValve,measuredPressureValve * 100,valvePWM,forceSensorValue * 100
1759181382.243428,20.0,2033.0,0.0,0.0,49.0,26.0
1759181382.374484,20.0,2033.0,0.0,0.0,49.0,18.0
1759181382.4965203,20.0,2033.0,0.0,0.0,49.0,26.0
1759181382.544092,20.0,2021.0,0.0,0.0,49.0,26.0
1759181382.6708758,20.0,2021.0,0.0,0.0,49.0,26.0
1759181382.797532,20.0,2021.0,0.0,0.0,49.0,26.0
1759181382.8455324,20.0,2021.0,0.0,0.0,49.0,26.0
1759181382.9729898,20.0,2009.0,0.0,0.0,49.0,18.0
1759181383.108315,20.0,2021.0,0.0,0.0,49.0,26.0
1759181383.1474552,20.0,2021.0,0.0,0.0,49.0,18.0
1759181383.2746956,20.0,2021.0,0.0,0.0,49.0,26.0
1759181383.4019341,20.0,2009.0,0.0,0.0,49.0,18.0
1759181383.4493127,20.0,2021.0,0.0,0.0,49.0,18.0
1759181383.5765638,20.0,2021.0,0.0,0.0,49.0,18.0
1759181383.7034843,20.0,2021.0,0.0,0.0,49.0,18.0
1759181383.751385,20.0,2009.0,0.0,0.0,49.0,26.0
1759181383.8789566,20.0,1997.0,0.0,0.0,49.0,26.0
1759181384.007253,20.0,2009.0,0.0,0.0,49.0,26.0
1759181384.0550096,20.0,2021.0,0.0,0.0,49.0,26.0
1759181384.181202,20.0,2009.0,0.0,0.0,49.0,26.0
1759181384.3085117,20.0,2009.0,0.0,0.0,7.0,18.0
1759181384.3557315,20.0,2009.0,0.0,0.0,7.0,26.0
1759181384.4838262,20.0,1997.0,0.0,0.0,7.0,26.0
1759181384.6112807,20.0,2009.0,0.0,0.0,7.0,26.0
1759181384.6589339,20.0,2009.0,0.0,0.0,7.0,18.0
1759181384.7862985,20.0,2009.0,0.0,0.0,7.0,18.0
1759181384.9135642,20.0,2009.0,0.0,0.0,7.0,26.0
1759181384.961189,20.0,2009.0,0.0,0.0,7.0,26.0
1759181385.0878806,20.0,2009.0,0.0,0.0,7.0,26.0
1759181385.214478,20.0,2009.0,0.0,0.0,7.0,26.0
1759181385.26428,20.0,2009.0,0.0,0.0,7.0,18.0
1759181385.3894465,20.0,1984.0,0.0,0.0,7.0,34.0
1759181385.5155246,20.0,1997.0,0.0,0.0,7.0,26.0
1759181385.5629108,20.0,1997.0,0.0,0.0,7.0,18.0
1759181385.692982,20.0,1997.0,0.0,7.0,7.0,18.0
1759181385.81576,20.0,2009.0,0.0,0.0,7.0,26.0
1759181385.863423,20.0,1997.0,0.0,0.0,7.0,26.0
1759181385.9900157,20.0,1997.0,0.0,0.0,7.0,18.0
1759181386.1169705,20.0,1997.0,0.0,0.0,7.0,10.0
1759181386.1644237,20.0,1997.0,0.0,0.0,7.0,26.0
1759181386.2917557,20.0,1997.0,0.0,0.0,23.0,18.0
1759181386.4189577,20.0,1997.0,0.0,0.0,23.0,18.0
1759181386.4666374,20.0,1997.0,0.0,0.0,23.0,18.0
1759181386.5936582,20.0,1984.0,0.0,0.0,23.0,18.0
1759181386.720867,20.0,1984.0,0.0,0.0,23.0,26.0
1759181386.7686934,20.0,1984.0,0.0,0.0,23.0,26.0
1759181386.8960304,20.0,1984.0,0.0,0.0,23.0,18.0
1759181387.0227535,20.0,1984.0,0.0,0.0,23.0,26.0
1759181387.0702806,20.0,1984.0,0.0,0.0,23.0,18.0
1759181387.1982524,20.0,1984.0,0.0,0.0,23.0,18.0
1759181387.3238423,20.0,1984.0,0.0,0.0,23.0,18.0
1759181387.3720152,20.0,1984.0,0.0,0.0,23.0,26.0
1759181387.499629,20.0,1984.0,0.0,0.0,23.0,26.0
1759181387.630525,20.0,1972.0,0.0,0.0,23.0,26.0
1759181387.6818209,20.0,1984.0,0.0,0.0,23.0,18.0
1759181387.8017175,20.0,1984.0,0.0,0.0,23.0,18.0
1759181387.9297998,20.0,1984.0,0.0,0.0,23.0,26.0
1759181387.9835014,20.0,1972.0,0.0,0.0,23.0,26.0
1759181388.1053035,20.0,1972.0,0.0,0.0,23.0,18.0
1759181388.2324944,20.0,1972.0,0.0,0.0,23.0,18.0
1759181388.280038,20.0,1972.0,0.0,0.0,20.0,18.0
1759181388.411882,20.0,1972.0,0.0,0.0,20.0,18.0
1759181388.534643,20.0,1972.0,0.0,0.0,20.0,18.0
1759181388.5825763,20.0,1960.0,0.0,0.0,20.0,18.0
1759181388.713426,20.0,1960.0,0.0,0.0,20.0,26.0
1759181388.8461885,20.0,1960.0,0.0,0.0,20.0,26.0
1759181388.8898952,20.0,1972.0,0.0,0.0,20.0,26.0
1759181389.0168116,20.0,1960.0,0.0,0.0,20.0,18.0
1759181389.1421876,20.0,1972.0,0.0,0.0,20.0,26.0
1759181389.187933,20.0,1972.0,0.0,0.0,20.0,18.0
1759181389.3163145,20.0,1960.0,0.0,0.0,20.0,26.0
1759181389.4266772,20.0,1948.0,0.0,0.0,20.0,18.0
1759181389.4895842,20.0,1972.0,0.0,0.0,20.0,26.0
1759181389.6178777,20.0,1960.0,0.0,0.0,20.0,18.0
1759181389.7438614,20.0,1960.0,0.0,0.0,20.0,18.0
1759181389.7916343,20.0,1960.0,0.0,0.0,20.0,18.0
1759181389.9191232,20.0,1936.0,0.0,0.0,20.0,26.0
1759181390.0456054,20.0,1960.0,0.0,0.0,20.0,26.0
1759181390.096309,20.0,1936.0,0.0,0.0,20.0,18.0
1759181390.2253873,20.0,1960.0,0.0,0.0,20.0,26.0
1759181390.3489292,20.0,1948.0,0.0,0.0,76.0,26.0
1759181390.40125,20.0,1691.0,0.0,166.0,76.0,74.0
1759181390.5325592,20.0,1496.0,0.0,288.0,76.0,364.0
1759181390.6605914,20.0,1386.0,0.0,385.0,76.0,642.0
1759181390.7027068,20.0,1472.0,0.0,483.0,76.0,1004.0
1759181390.8356736,20.0,1337.0,0.0,544.0,76.0,1316.0
1759181390.9404857,20.0,1423.0,0.0,642.0,76.0,1649.0
1759181391.0042827,20.0,1386.0,0.0,703.0,76.0,1976.0
1759181391.1322353,20.0,1435.0,0.0,776.0,76.0,2319.0
1759181391.2606523,20.0,1423.0,0.0,837.0,76.0,2666.0
1759181391.2938824,20.0,1423.0,0.0,922.0,76.0,3015.0
1759181391.4280217,20.0,1447.0,0.0,983.0,76.0,3378.0
1759181391.547534,20.0,1484.0,0.0,1044.0,76.0,3709.0
1759181391.6116145,20.0,1594.0,0.0,1105.0,76.0,4068.0
1759181391.739204,20.0,1618.0,0.0,1166.0,76.0,4422.0
1759181391.8665771,20.0,1520.0,0.0,1215.0,76.0,4737.0
1759181391.898153,20.0,1508.0,0.0,1264.0,76.0,5043.0
1759181392.030913,20.0,1594.0,0.0,1313.0,76.0,5392.0
1759181392.1526017,20.0,1582.0,0.0,1362.0,76.0,5660.0
1759181392.2006009,20.0,1618.0,0.0,1398.0,76.0,5970.0
1759181392.3320465,20.0,1679.0,0.0,1447.0,62.0,6211.0
1759181392.4399943,20.0,1691.0,0.0,1447.0,62.0,6362.0
1759181392.5716953,20.0,1740.0,0.0,1459.0,62.0,6494.0
1759181392.5957298,20.0,1740.0,0.0,1484.0,62.0,6629.0
1759181392.7222304,20.0,1801.0,0.0,1520.0,62.0,6744.0
1759181392.8498561,20.0,1826.0,0.0,1533.0,62.0,6861.0
1759181392.9134772,20.0,1813.0,0.0,1545.0,62.0,7038.0
1759181393.0429866,20.0,1813.0,0.0,1569.0,62.0,7196.0
1759181393.1661973,20.0,1826.0,0.0,1606.0,62.0,7336.0
1759181393.214076,20.0,1862.0,0.0,1618.0,62.0,7457.0
1759181393.3417196,20.0,1875.0,0.0,1630.0,62.0,7640.0
1759181393.4728281,20.0,1875.0,0.0,1667.0,62.0,7762.0
1759181393.5159383,20.0,1875.0,0.0,1667.0,62.0,7886.0
1759181393.6427927,20.0,1911.0,0.0,1667.0,62.0,8053.0
1759181393.7701027,20.0,1911.0,0.0,1704.0,62.0,8220.0
1759181393.818063,20.0,1911.0,0.0,1716.0,62.0,8368.0
1759181393.9365695,20.0,1923.0,0.0,1740.0,62.0,8411.0
1759181394.0557764,20.0,1923.0,0.0,1752.0,62.0,8517.0
1759181394.1832354,20.0,1936.0,0.0,1777.0,62.0,8646.0
1759181394.2148952,20.0,1960.0,0.0,1789.0,62.0,8776.0
1759181394.3433926,20.0,1948.0,0.0,1801.0,114.0,8841.0
1759181394.4708138,20.0,1887.0,0.0,1850.0,114.0,9147.0
1759181394.5286217,20.0,1875.0,0.0,1875.0,114.0,9369.0
1759181394.6458566,20.0,1911.0,0.0,1899.0,114.0,9459.0
1759181394.7808688,20.0,1923.0,0.0,1936.0,114.0,9661.0
1759181394.8217402,20.0,1948.0,0.0,1936.0,114.0,9774.0
1759181394.9437826,20.0,1948.0,0.0,1936.0,114.0,9957.0
1759181395.0601854,20.0,1972.0,0.0,1960.0,114.0,10048.0
1759181395.1879692,20.0,1997.0,0.0,1984.0,114.0,10141.0
1759181395.21802,20.0,1997.0,0.0,1997.0,114.0,10326.0
1759181395.34995,20.0,2009.0,0.0,1997.0,114.0,10443.0
1759181395.4717,20.0,1997.0,0.0,2009.0,114.0,10536.0
1759181395.5357153,20.0,2009.0,0.0,2021.0,114.0,10607.0
1759181395.6665928,20.0,2021.0,0.0,2033.0,114.0,10748.0
1759181395.7894397,20.0,2009.0,0.0,2033.0,114.0,10843.0
1759181395.836892,20.0,2058.0,0.0,2045.0,114.0,10867.0
1759181395.9644225,20.0,2070.0,0.0,2045.0,114.0,10891.0
1759181396.0993993,20.0,2021.0,0.0,2058.0,114.0,10986.0
1759181396.139273,20.0,2058.0,0.0,2058.0,114.0,11034.0
1759181396.2662265,20.0,2070.0,0.0,2058.0,114.0,11034.0
1759181396.3942592,20.0,2070.0,0.0,2058.0,8.0,11010.0
1759181396.4264085,20.0,2082.0,0.0,1813.0,8.0,10396.0
1759181396.5536792,20.0,2094.0,0.0,1655.0,8.0,9147.0
1759181396.68227,20.0,2094.0,0.0,1508.0,8.0,8053.0
1759181396.7303362,20.0,2106.0,0.0,1350.0,8.0,7097.0
1759181396.8587437,20.0,2106.0,0.0,1203.0,8.0,6286.0
1759181396.9866438,20.0,2106.0,0.0,1093.0,8.0,5516.0
1759181397.0346768,20.0,2094.0,0.0,983.0,8.0,4821.0
1759181397.1624687,20.0,2094.0,0.0,874.0,8.0,4179.0
1759181397.2908542,20.0,2094.0,0.0,776.0,8.0,3633.0
1759181397.3375032,20.0,2094.0,0.0,678.0,8.0,3086.0
1759181397.4653049,20.0,2094.0,0.0,593.0,8.0,2626.0
1759181397.593606,20.0,2094.0,0.0,507.0,8.0,2190.0
1759181397.6409025,20.0,2094.0,0.0,434.0,8.0,1877.0
1759181397.768627,20.0,2082.0,0.0,349.0,8.0,1555.0
1759181397.9045978,20.0,2094.0,0.0,312.0,8.0,1316.0
1759181397.951772,20.0,2094.0,0.0,263.0,8.0,1099.0
1759181398.072497,20.0,2106.0,0.0,214.0,8.0,921.0
1759181398.2009606,20.0,2070.0,0.0,178.0,8.0,769.0
1759181398.2485063,20.0,2082.0,0.0,129.0,8.0,623.0
1759181398.3770628,20.0,2094.0,0.0,117.0,71.0,510.0
1759181398.5050745,20.0,1777.0,0.0,324.0,71.0,623.0
1759181398.5530267,20.0,1582.0,0.0,410.0,71.0,921.0
1759181398.6848643,20.0,1508.0,0.0,507.0,71.0,1239.0
1759181398.8094575,20.0,1533.0,0.0,581.0,71.0,1555.0
1759181398.857641,20.0,1520.0,0.0,666.0,71.0,1877.0
1759181398.9851708,20.0,1411.0,0.0,739.0,71.0,2229.0
1759181399.1128314,20.0,1520.0,0.0,788.0,71.0,2531.0
1759181399.1446307,20.0,1447.0,0.0,861.0,71.0,2846.0
1759181399.2722092,20.0,1508.0,0.0,935.0,71.0,3187.0
1759181399.3997595,20.0,1496.0,0.0,996.0,71.0,3497.0
1759181399.4477327,20.0,1508.0,0.0,1044.0,71.0,3755.0
1759181399.575466,20.0,1618.0,0.0,1105.0,71.0,4068.0
1759181399.7106602,20.0,1533.0,0.0,1142.0,71.0,4357.0
1759181399.7627544,20.0,1545.0,0.0,1203.0,71.0,4620.0
1759181399.8862567,20.0,1545.0,0.0,1252.0,71.0,4906.0
1759181400.0070512,20.0,1557.0,0.0,1289.0,71.0,5199.0
1759181400.0546992,20.0,1606.0,0.0,1325.0,71.0,5481.0
1759181400.1850023,20.0,1594.0,0.0,1362.0,71.0,5750.0
1759181400.3149512,20.0,1716.0,0.0,1411.0,71.0,5970.0
1759181400.3563669,20.0,1691.0,0.0,1447.0,1.0,6249.0
1759181400.4887283,20.0,1789.0,0.0,1166.0,1.0,5750.0
1759181400.6118617,20.0,1899.0,0.0,1008.0,1.0,4838.0
1759181400.6596491,20.0,1923.0,0.0,886.0,1.0,4115.0
1759181400.787923,20.0,1948.0,0.0,751.0,1.0,3452.0
1759181400.9161422,20.0,1972.0,0.0,642.0,1.0,2874.0
1759181400.9715912,20.0,1997.0,0.0,556.0,1.0,2438.0
1759181401.0911975,20.0,1997.0,0.0,483.0,1.0,1988.0
1759181401.2183933,20.0,1997.0,0.0,385.0,1.0,1684.0
1759181401.2661529,20.0,1997.0,0.0,349.0,1.0,1372.0
1759181401.3942683,20.0,1984.0,0.0,263.0,1.0,1141.0
1759181401.5223904,20.0,1997.0,0.0,214.0,1.0,910.0
1759181401.5760813,20.0,1997.0,0.0,166.0,1.0,759.0
1759181401.703081,20.0,1984.0,0.0,129.0,1.0,614.0
1759181401.8253446,20.0,1984.0,0.0,104.0,1.0,501.0
1759181401.87323,20.0,1984.0,0.0,80.0,1.0,373.0
1759181402.0005043,20.0,1972.0,0.0,31.0,1.0,285.0
1759181402.127878,20.0,1984.0,0.0,31.0,1.0,216.0
1759181402.1598768,20.0,1972.0,0.0,19.0,1.0,174.0
1759181402.2872524,20.0,1984.0,0.0,7.0,1.0,115.0
1759181402.4148688,20.0,1997.0,0.0,0.0,90.0,83.0
1759181402.4789274,20.0,1618.0,0.0,312.0,90.0,302.0
1759181402.6063423,20.0,1472.0,0.0,422.0,90.0,701.0
1759181402.7342746,20.0,1362.0,0.0,544.0,90.0,1099.0
1759181402.7820303,20.0,1350.0,0.0,642.0,90.0,1567.0
1759181402.9100752,20.0,1374.0,0.0,739.0,90.0,1963.0
1759181403.0385237,20.0,1337.0,0.0,837.0,90.0,2398.0
1759181403.0833433,20.0,1374.0,0.0,910.0,90.0,2846.0
1759181403.1841006,20.0,1386.0,0.0,983.0,90.0,3289.0
1759181403.3102245,20.0,1459.0,0.0,1057.0,90.0,3663.0
1759181403.437612,20.0,1447.0,0.0,1142.0,90.0,4115.0
1759181403.4852242,20.0,1520.0,0.0,1203.0,90.0,4520.0
1759181403.6129155,20.0,1533.0,0.0,1252.0,90.0,4923.0
1759181403.7406778,20.0,1557.0,0.0,1301.0,90.0,5304.0
1759181403.7885416,20.0,1545.0,0.0,1362.0,90.0,5624.0
1759181403.91594,20.0,1569.0,0.0,1411.0,90.0,5896.0
1759181404.0427394,20.0,1594.0,0.0,1459.0,90.0,6286.0
1759181404.0876026,20.0,1630.0,0.0,1508.0,90.0,6571.0
1759181404.2021563,20.0,1594.0,0.0,1520.0,90.0,6861.0
1759181404.3292992,20.0,1691.0,0.0,1582.0,90.0,7097.0
1759181404.393299,20.0,1716.0,0.0,1606.0,107.0,7356.0
1759181404.5212684,20.0,1752.0,0.0,1643.0,107.0,7558.0
1759181404.589099,20.0,1716.0,0.0,1667.0,107.0,7783.0
1759181404.713131,20.0,1728.0,0.0,1704.0,107.0,8011.0
1759181404.8482597,20.0,1716.0,0.0,1716.0,107.0,8262.0
1759181404.890444,20.0,1765.0,0.0,1752.0,107.0,8411.0
1759181405.0233986,20.0,1813.0,0.0,1777.0,107.0,8560.0
1759181405.1434708,20.0,1813.0,0.0,1801.0,107.0,8754.0
1759181405.1920102,20.0,1875.0,0.0,1813.0,107.0,8994.0
1759181405.3192177,20.0,1862.0,0.0,1838.0,107.0,9081.0
1759181405.4471965,20.0,1862.0,0.0,1850.0,107.0,9192.0
1759181405.495183,20.0,1875.0,0.0,1862.0,107.0,9414.0
1759181405.6233315,20.0,1911.0,0.0,1887.0,107.0,9548.0
1759181405.7572403,20.0,1923.0,0.0,1899.0,107.0,9752.0
1759181405.800304,20.0,1923.0,0.0,1923.0,107.0,9820.0
1759181405.9265678,20.0,1911.0,0.0,1923.0,107.0,9934.0
1759181406.0608275,20.0,1923.0,0.0,1936.0,107.0,10048.0
1759181406.1031606,20.0,1948.0,0.0,1948.0,107.0,10141.0
1759181406.2364724,20.0,1960.0,0.0,1960.0,107.0,10210.0
1759181406.357174,20.0,1972.0,0.0,1972.0,107.0,10303.0
1759181406.4078462,20.0,1984.0,0.0,1997.0,42.0,10349.0
1759181406.5319967,20.0,2033.0,0.0,1960.0,42.0,10349.0
1759181406.6605706,20.0,2058.0,0.0,1936.0,42.0,10233.0
1759181406.6997426,20.0,2082.0,0.0,1911.0,42.0,10141.0
1759181406.8210275,20.0,2094.0,0.0,1862.0,42.0,9980.0
1759181406.9325876,20.0,2106.0,0.0,1850.0,42.0,9820.0
1759181407.0606723,20.0,2094.0,0.0,1826.0,42.0,9661.0
1759181407.1018438,20.0,2094.0,0.0,1789.0,42.0,9526.0
1759181407.2197692,20.0,2094.0,0.0,1789.0,42.0,9347.0
1759181407.3495917,20.0,2094.0,0.0,1765.0,42.0,9214.0
1759181407.4030356,20.0,2094.0,0.0,1752.0,42.0,9037.0
1759181407.5228472,20.0,2094.0,0.0,1728.0,42.0,8906.0
1759181407.6498005,20.0,2094.0,0.0,1728.0,42.0,8776.0
1759181407.7044623,20.0,2094.0,0.0,1691.0,42.0,8625.0
1759181407.8244889,20.0,2094.0,0.0,1679.0,42.0,8496.0
1759181407.9359422,20.0,2094.0,0.0,1655.0,42.0,8411.0
1759181408.0637918,20.0,2082.0,0.0,1630.0,42.0,8262.0
1759181408.1112974,20.0,2094.0,0.0,1618.0,42.0,8136.0
1759181408.238808,20.0,2082.0,0.0,1606.0,42.0,8032.0
1759181408.366588,20.0,2082.0,0.0,1582.0,42.0,7886.0
1759181408.414617,20.0,2082.0,0.0,1569.0,62.0,7762.0
1759181408.5413625,20.0,1984.0,0.0,1606.0,62.0,7824.0
1759181408.6685839,20.0,1911.0,0.0,1630.0,62.0,7990.0
1759181408.716524,20.0,1862.0,0.0,1643.0,62.0,8199.0
1759181408.8448842,20.0,1789.0,0.0,1667.0,62.0,8284.0
1759181408.972,20.0,1765.0,0.0,1667.0,62.0,8326.0
1759181409.0198221,20.0,1813.0,0.0,1679.0,62.0,8390.0
1759181409.1558654,20.0,1801.0,0.0,1691.0,62.0,8517.0
1759181409.2756202,20.0,1850.0,0.0,1691.0,62.0,8560.0
1759181409.3232532,20.0,1899.0,0.0,1728.0,62.0,8646.0
1759181409.4349675,20.0,1911.0,0.0,1740.0,62.0,8754.0
1759181409.5646417,20.0,1923.0,0.0,1765.0,62.0,8906.0
1759181409.614222,20.0,1923.0,0.0,1777.0,62.0,9037.0
1759181409.740188,20.0,1948.0,0.0,1789.0,62.0,9103.0
1759181409.8686516,20.0,1936.0,0.0,1801.0,62.0,9236.0
1759181409.9166968,20.0,1948.0,0.0,1789.0,62.0,9369.0
1759181410.044453,20.0,1960.0,0.0,1826.0,62.0,9481.0
1759181410.1795752,20.0,1960.0,0.0,1838.0,62.0,9548.0
1759181410.2202477,20.0,1972.0,0.0,1850.0,62.0,9661.0
1759181410.3475363,20.0,2009.0,0.0,1862.0,62.0,9752.0
1759181410.4749074,20.0,1984.0,0.0,1887.0,63.0,9797.0
1759181410.5233343,20.0,1997.0,0.0,1887.0,63.0,9888.0
1759181410.6569402,20.0,1984.0,0.0,1899.0,63.0,9980.0
1759181410.7790606,20.0,1997.0,0.0,1911.0,63.0,10071.0
1759181410.8270192,20.0,2009.0,0.0,1923.0,63.0,10117.0
1759181410.9384944,20.0,1972.0,0.0,1936.0,63.0,10164.0
1759181411.0668085,20.0,2045.0,0.0,1948.0,63.0,10279.0
1759181411.1307213,20.0,2009.0,0.0,1948.0,63.0,10349.0
1759181411.2659667,20.0,2021.0,0.0,1972.0,63.0,10373.0
1759181411.3943915,20.0,2021.0,0.0,1972.0,63.0,10419.0
1759181411.4337409,20.0,2045.0,0.0,1972.0,63.0,10513.0
1759181411.5622287,20.0,2021.0,0.0,1984.0,63.0,10560.0
1759181411.6902335,20.0,2021.0,0.0,1972.0,63.0,10607.0
1759181411.7248814,20.0,2033.0,0.0,1997.0,63.0,10630.0
1759181411.8559966,20.0,2021.0,0.0,1997.0,63.0,10725.0
1759181411.9761634,20.0,2021.0,0.0,1997.0,63.0,10772.0
1759181412.0404103,20.0,2045.0,0.0,2009.0,63.0,10772.0
1759181412.168179,20.0,2033.0,0.0,2009.0,63.0,10796.0
1759181412.2973282,20.0,2033.0,0.0,2009.0,63.0,10891.0
1759181412.3273253,20.0,2033.0,0.0,2009.0,63.0,10891.0
1759181412.4396157,20.0,2033.0,0.0,2021.0,47.0,10867.0
1759181412.5690877,20.0,2045.0,0.0,2009.0,47.0,10843.0
1759181412.694857,20.0,2082.0,0.0,1984.0,47.0,10915.0
